seq0, sp|C0H412|SWRD_BACSU
seq2558, sp|P16157|ANK1_HUMAN
seq2559, sp|Q5R452|SAFB1_PONAB
seq2560, sp|Q5R452|SAFB1_PONAB
seq2561, sp|Q5R452|SAFB1_PONAB
seq2562, sp|Q9BUQ8|DDX23_HUMAN
seq2563, sp|Q9BUQ8|DDX23_HUMAN
seq2564, sp|Q86TN4|TRPT1_HUMAN
seq2565, sp|Q86TN4|TRPT1_HUMAN
seq2566, sp|O43815|STRN_HUMAN
seq2567, sp|P31152|MK04_HUMAN
seq2568, sp|P31152|MK04_HUMAN
seq2569, sp|P31152|MK04_HUMAN
seq2570, sp|P31152|MK04_HUMAN
seq2571, sp|P31152|MK04_HUMAN
seq2572, sp|P31152|MK04_HUMAN
seq2573, sp|O60732|MAGC1_HUMAN
seq2574, sp|P52790|HXK3_HUMAN
seq2575, sp|P52790|HXK3_HUMAN
seq2576, sp|P52790|HXK3_HUMAN
seq2577, sp|P52790|HXK3_HUMAN
seq2578, sp|P52790|HXK3_HUMAN
seq2579, sp|Q53QZ3|RHG15_HUMAN
seq2580, sp|Q53QZ3|RHG15_HUMAN
seq2581, sp|Q8IY22|CMIP_HUMAN
seq2582, sp|Q8IY22|CMIP_HUMAN
seq2583, sp|Q8IY22|CMIP_HUMAN
seq2584, sp|Q8NEB9|PK3C3_HUMAN
seq2585, sp|Q8NEB9|PK3C3_HUMAN
seq2586, sp|Q8NEB9|PK3C3_HUMAN
seq2587, sp|Q9H2U1|DHX36_HUMAN
seq2588, sp|O95425|SVIL_HUMAN
seq2589, sp|O95425|SVIL_HUMAN
seq2590, sp|O95425|SVIL_HUMAN
seq2591, sp|O95425|SVIL_HUMAN
seq2592, sp|O95425|SVIL_HUMAN
seq2593, sp|O95425|SVIL_HUMAN
seq2594, sp|Q8TBB1|LNX1_HUMAN
seq2595, sp|Q8TBB1|LNX1_HUMAN
seq2596, sp|Q8TBB1|LNX1_HUMAN
seq2597, sp|Q8TBB1|LNX1_HUMAN
seq2598, sp|Q09666|AHNK_HUMAN
seq2599, sp|Q09666|AHNK_HUMAN
seq2600, sp|Q7TSL3|FBX11_RAT
seq2601, sp|Q9NW38|FANCL_HUMAN
seq2602, sp|Q9UKV3|ACINU_HUMAN
seq2603, sp|Q9JIX8|ACINU_MOUSE
seq2604, sp|Q9UKV3|ACINU_HUMAN
seq2605, sp|Q13033|STRN3_HUMAN
seq2606, sp|Q13033|STRN3_HUMAN
seq2607, sp|A5D7H2|STRN3_BOVIN
seq2608, sp|P20073|ANXA7_HUMAN
seq2609, sp|P20073|ANXA7_HUMAN
seq2610, sp|P20073|ANXA7_HUMAN
seq2611, sp|P20073|ANXA7_HUMAN
seq2612, sp|P20073|ANXA7_HUMAN
seq2613, sp|P20073|ANXA7_HUMAN
seq2614, sp|P14866|HNRPL_HUMAN
seq2615, sp|Q9NUQ8|ABCF3_HUMAN
seq2616, sp|Q7Z569|BRAP_HUMAN
seq2617, sp|Q7Z569|BRAP_HUMAN
seq2618, sp|Q7Z569|BRAP_HUMAN
seq2619, sp|Q7Z569|BRAP_HUMAN
seq2620, sp|Q7Z569|BRAP_HUMAN
seq2621, sp|Q9NXD2|MTMRA_HUMAN
seq2622, sp|Q9NXD2|MTMRA_HUMAN
seq2623, sp|Q9NXD2|MTMRA_HUMAN
seq2624, sp|Q9NXD2|MTMRA_HUMAN
seq2625, sp|Q9NXD2|MTMRA_HUMAN
seq2626, sp|Q9BVG3|TRI62_HUMAN
seq2627, sp|Q9BVG3|TRI62_HUMAN
seq2628, sp|Q9BVG3|TRI62_HUMAN
seq2629, sp|Q9BVG3|TRI62_HUMAN
seq2630, sp|Q13144|EI2BE_HUMAN
seq2631, sp|Q13144|EI2BE_HUMAN
seq2632, sp|Q13144|EI2BE_HUMAN
seq2633, sp|P43365|MAGAC_HUMAN
seq2634, sp|Q6PK18|OGFD3_HUMAN
seq2635, sp|Q6PK18|OGFD3_HUMAN
seq2636, sp|Q9NPQ8|RIC8A_HUMAN
seq2637, sp|Q9NPQ8|RIC8A_HUMAN
seq2638, sp|Q9NPQ8|RIC8A_HUMAN
seq2639, sp|Q9NPQ8|RIC8A_HUMAN
seq2640, sp|Q9MZA9|VIME_SHEEP
seq2641, sp|Q5R1W8|VIME_PANTR
seq2642, sp|P08670|VIME_HUMAN
seq2643, sp|P08670|VIME_HUMAN
seq2644, sp|P08670|VIME_HUMAN
seq2645, sp|P08670|VIME_HUMAN
seq2646, sp|P08670|VIME_HUMAN
seq2647, sp|P08670|VIME_HUMAN
seq2648, sp|P08670|VIME_HUMAN
seq2649, sp|P08670|VIME_HUMAN
seq2650, sp|P08670|VIME_HUMAN
seq2651, sp|P08670|VIME_HUMAN
seq2652, sp|P08670|VIME_HUMAN
seq2653, sp|P08670|VIME_HUMAN
seq2654, sp|P08670|VIME_HUMAN
seq2655, sp|P11801|KPSH1_HUMAN
seq2656, sp|P14625|ENPL_HUMAN
seq2657, sp|Q9BVT8|TMUB1_HUMAN
seq2658, sp|Q9BVT8|TMUB1_HUMAN
seq2659, sp|Q9Y4L1|HYOU1_HUMAN
seq2660, sp|Q9Y4L1|HYOU1_HUMAN
seq2661, sp|Q9Y4L1|HYOU1_HUMAN
seq2662, sp|O43147|SGSM2_HUMAN
seq2663, sp|O43147|SGSM2_HUMAN
seq2664, sp|O43147|SGSM2_HUMAN
seq2665, sp|O43147|SGSM2_HUMAN
seq2666, sp|O43147|SGSM2_HUMAN
seq2667, sp|Q92796|DLG3_HUMAN
seq2668, sp|Q92796|DLG3_HUMAN
seq2669, sp|Q92796|DLG3_HUMAN
seq2670, sp|Q92796|DLG3_HUMAN
seq2671, sp|Q92796|DLG3_HUMAN
seq2672, sp|Q92796|DLG3_HUMAN
seq2673, sp|Q6ZSZ5|ARHGI_HUMAN
seq2674, sp|Q6ZSZ5|ARHGI_HUMAN
seq2675, sp|Q6ZSZ5|ARHGI_HUMAN
seq2676, sp|Q96NW4|ANR27_HUMAN
seq2677, sp|Q96NW4|ANR27_HUMAN
seq2678, sp|Q96NW4|ANR27_HUMAN
seq2679, sp|Q96NW4|ANR27_HUMAN
seq2680, sp|Q96NW4|ANR27_HUMAN
seq2681, sp|Q96NW4|ANR27_HUMAN
seq2682, sp|Q9NW38|FANCL_HUMAN
seq2683, sp|Q9NW38|FANCL_HUMAN
seq2684, sp|O60841|IF2P_HUMAN
seq2685, sp|O60841|IF2P_HUMAN
seq2686, sp|O60841|IF2P_HUMAN
seq2687, sp|O60841|IF2P_HUMAN
seq2688, sp|Q86XR8|CEP57_HUMAN
seq2689, sp|Q9MZA9|VIME_SHEEP
seq2690, sp|Q9MZA9|VIME_SHEEP
seq2691, sp|Q5R1W8|VIME_PANTR
seq2692, sp|Q9Y512|SAM50_HUMAN
seq2693, sp|Q9Y512|SAM50_HUMAN
seq2694, sp|Q9Y512|SAM50_HUMAN
seq2695, sp|Q9Y512|SAM50_HUMAN
seq2696, sp|Q9Y512|SAM50_HUMAN
seq2697, sp|Q9Y512|SAM50_HUMAN
seq2698, sp|Q96CU9|FXRD1_HUMAN
seq2699, sp|Q96CU9|FXRD1_HUMAN
seq2700, sp|Q96CU9|FXRD1_HUMAN
seq2701, sp|Q96CU9|FXRD1_HUMAN
seq2702, sp|Q8N680|ZBTB2_HUMAN
seq2703, sp|Q8N680|ZBTB2_HUMAN
seq2704, sp|Q8N680|ZBTB2_HUMAN
seq2705, sp|Q8N680|ZBTB2_HUMAN
seq2706, sp|Q6P1K8|T2H2L_HUMAN
seq2707, sp|Q6P1K8|T2H2L_HUMAN
seq2708, sp|Q6P1K8|T2H2L_HUMAN
seq2709, sp|Q13888|TF2H2_HUMAN
seq2710, sp|P28330|ACADL_HUMAN
seq2711, sp|P28330|ACADL_HUMAN
seq2712, sp|P28330|ACADL_HUMAN
seq2713, sp|P28330|ACADL_HUMAN
seq2714, sp|P28330|ACADL_HUMAN
seq2715, sp|P28330|ACADL_HUMAN
seq2716, sp|P28330|ACADL_HUMAN
seq2717, sp|Q96CD0|FBXL8_HUMAN
seq2718, sp|Q5R4L5|XRN2_PONAB
seq2719, sp|Q13263|TIF1B_HUMAN
seq2720, sp|Q13263|TIF1B_HUMAN
seq2721, sp|Q13114|TRAF3_HUMAN
seq2722, sp|Q5W0U4|BSPRY_HUMAN
seq2723, sp|Q5W0U4|BSPRY_HUMAN
seq2724, sp|Q5W0U4|BSPRY_HUMAN
seq2725, sp|Q5W0U4|BSPRY_HUMAN
seq2726, sp|Q9HA65|TBC17_HUMAN
seq2727, sp|O00311|CDC7_HUMAN
seq2728, sp|O43815|STRN_HUMAN
seq2729, sp|O43815|STRN_HUMAN
seq2730, sp|O43815|STRN_HUMAN
seq2731, sp|O43815|STRN_HUMAN
seq2732, sp|Q96GX9|MTNB_HUMAN
seq2733, sp|Q96GX9|MTNB_HUMAN
seq2734, sp|Q96GX9|MTNB_HUMAN
seq2735, sp|O60307|MAST3_HUMAN
seq2736, sp|O60307|MAST3_HUMAN
seq2737, sp|O60307|MAST3_HUMAN
seq2738, sp|O60307|MAST3_HUMAN
seq2739, sp|O60307|MAST3_HUMAN
seq2740, sp|Q99973|TEP1_HUMAN
seq2741, sp|Q99973|TEP1_HUMAN
seq2742, sp|Q99973|TEP1_HUMAN
seq2743, sp|Q9ERK4|XPO2_MOUSE
seq2744, sp|Q9ERK4|XPO2_MOUSE
seq2745, sp|Q9ERK4|XPO2_MOUSE
seq2746, sp|Q9NQ86|TRI36_HUMAN
seq2747, sp|Q9NQ86|TRI36_HUMAN
seq2748, sp|Q9NQ86|TRI36_HUMAN
seq2749, sp|Q9NQ86|TRI36_HUMAN
seq2750, sp|P35527|K1C9_HUMAN
seq2751, sp|P35527|K1C9_HUMAN
seq2752, sp|P35527|K1C9_HUMAN
seq2753, sp|Q9UDY8|MALT1_HUMAN
seq2754, sp|Q9UMW8|UBP18_HUMAN
seq2755, sp|Q9UMW8|UBP18_HUMAN
seq2756, sp|Q9Y620|RA54B_HUMAN
seq2757, sp|Q9Y620|RA54B_HUMAN
seq2758, sp|Q9Y620|RA54B_HUMAN
seq2759, sp|Q9Y620|RA54B_HUMAN
seq2760, sp|Q8IX12|CCAR1_HUMAN
seq2761, sp|Q8IX12|CCAR1_HUMAN
seq2762, sp|Q8IX12|CCAR1_HUMAN
seq2763, sp|Q01082|SPTB2_HUMAN
seq2764, sp|Q01082|SPTB2_HUMAN
seq2765, sp|Q7Z569|BRAP_HUMAN
seq2766, sp|Q14511|CASL_HUMAN
seq2767, sp|Q15717|ELAV1_HUMAN
seq2768, sp|Q15717|ELAV1_HUMAN
seq2769, sp|Q8TEW6|DOK4_HUMAN
seq2770, sp|Q8TEW6|DOK4_HUMAN
seq2771, sp|Q8TEW6|DOK4_HUMAN
seq2772, sp|Q8TEW6|DOK4_HUMAN
seq2773, sp|Q86V86|PIM3_HUMAN
seq2774, sp|Q86V86|PIM3_HUMAN
seq2775, sp|Q96BY2|MOAP1_HUMAN
seq2776, sp|Q96BY2|MOAP1_HUMAN
seq2777, sp|Q8ND76|CCNY_HUMAN
seq2778, sp|Q7Z6M1|RABEK_HUMAN
seq2779, sp|Q7Z6M1|RABEK_HUMAN
seq2780, sp|Q7Z6M1|RABEK_HUMAN
seq2781, sp|Q7Z6M1|RABEK_HUMAN
seq2782, sp|Q96EN8|MOCOS_HUMAN
seq2783, sp|Q96EN8|MOCOS_HUMAN
seq2784, sp|Q96EN8|MOCOS_HUMAN
seq2785, sp|Q96EN8|MOCOS_HUMAN
seq2786, sp|Q96EN8|MOCOS_HUMAN
seq2787, sp|Q13769|THOC5_HUMAN
seq2788, sp|Q13769|THOC5_HUMAN
seq2789, sp|Q13769|THOC5_HUMAN
seq2790, sp|Q13769|THOC5_HUMAN
seq2791, sp|Q9H3M7|TXNIP_HUMAN
seq2792, sp|Q9H3M7|TXNIP_HUMAN
seq2793, sp|P30679|GNA15_HUMAN
seq2794, sp|P30679|GNA15_HUMAN
seq2795, sp|Q96NL8|CF418_HUMAN
seq2796, sp|Q96NL8|CF418_HUMAN
seq2797, sp|P26231|CTNA1_MOUSE
seq2798, sp|P26231|CTNA1_MOUSE
seq2799, sp|P26231|CTNA1_MOUSE
seq2800, sp|Q96RF0|SNX18_HUMAN
seq2801, sp|Q96RF0|SNX18_HUMAN
seq2802, sp|O70511|ANK3_RAT
seq2803, sp|O70511|ANK3_RAT
seq2804, sp|O70511|ANK3_RAT
seq2805, sp|O70511|ANK3_RAT
seq2806, sp|O70511|ANK3_RAT
seq2807, sp|Q12955|ANK3_HUMAN
seq2808, sp|Q12955|ANK3_HUMAN
seq2809, sp|Q12955|ANK3_HUMAN
seq2810, sp|Q12955|ANK3_HUMAN
seq2811, sp|Q12955|ANK3_HUMAN
seq2812, sp|O70511|ANK3_RAT
seq2813, sp|Q12955|ANK3_HUMAN
seq2814, sp|G5E8K5|ANK3_MOUSE
seq2815, sp|G5E8K5|ANK3_MOUSE
seq2816, sp|Q9UPY6|WASF3_HUMAN
seq2817, sp|Q9UPY6|WASF3_HUMAN
seq2818, sp|Q9UPY6|WASF3_HUMAN
seq2819, sp|Q96JH8|RADIL_HUMAN
seq2820, sp|Q96JH8|RADIL_HUMAN
seq2821, sp|Q96JH8|RADIL_HUMAN
seq2822, sp|Q96JH8|RADIL_HUMAN
seq2823, sp|Q9HA65|TBC17_HUMAN
seq2824, sp|Q9HA65|TBC17_HUMAN
seq2825, sp|Q9HA65|TBC17_HUMAN
seq2826, sp|P49588|SYAC_HUMAN
seq2827, sp|P49588|SYAC_HUMAN
seq2828, sp|P49588|SYAC_HUMAN
seq2829, sp|Q9BSH4|TACO1_HUMAN
seq2830, sp|Q9BSH4|TACO1_HUMAN
seq2831, sp|Q9BSH4|TACO1_HUMAN
seq2832, sp|Q9Y5X4|NR2E3_HUMAN
seq2833, sp|P81183|IKZF2_MOUSE
seq2834, sp|Q9H2S9|IKZF4_HUMAN
seq2835, sp|Q53GS9|SNUT2_HUMAN
seq2836, sp|Q53GS9|SNUT2_HUMAN
seq2837, sp|Q53GS9|SNUT2_HUMAN
seq2838, sp|Q53GS9|SNUT2_HUMAN
seq2839, sp|Q53GS9|SNUT2_HUMAN
seq2840, sp|Q53GS9|SNUT2_HUMAN
seq2841, sp|P48382|RFX5_HUMAN
seq2842, sp|P48382|RFX5_HUMAN
seq2843, sp|P36575|ARRC_HUMAN
seq2844, sp|P36575|ARRC_HUMAN
seq2845, sp|P49588|SYAC_HUMAN
seq2846, sp|O95425|SVIL_HUMAN
seq2847, sp|O95425|SVIL_HUMAN
seq2848, sp|O95425|SVIL_HUMAN
seq2849, sp|O95425|SVIL_HUMAN
seq2850, sp|O95425|SVIL_HUMAN
seq2851, sp|O95425|SVIL_HUMAN
seq2852, sp|O95425|SVIL_HUMAN
seq2853, sp|O95425|SVIL_HUMAN
seq2854, sp|Q8TBB1|LNX1_HUMAN
seq2855, sp|Q8TBB1|LNX1_HUMAN
seq2856, sp|Q8TBB1|LNX1_HUMAN
seq2857, sp|O94763|RMP_HUMAN
seq2858, sp|Q9Y2K2|SIK3_HUMAN
seq2859, sp|Q7TSL3|FBX11_RAT
seq2860, sp|Q7TSL3|FBX11_RAT
seq2861, sp|Q7TPD1|FBX11_MOUSE
seq2862, sp|Q7TPD1|FBX11_MOUSE
seq2863, sp|Q86XK2|FBX11_HUMAN
seq2864, sp|Q86XK2|FBX11_HUMAN
seq2865, sp|Q6DKJ4|NXN_HUMAN
seq2866, sp|Q5HYK7|SH319_HUMAN
seq2867, sp|Q5HYK7|SH319_HUMAN
seq2868, sp|Q5HYK7|SH319_HUMAN
seq2869, sp|Q5HYK7|SH319_HUMAN
seq2870, sp|Q5HYK7|SH319_HUMAN
seq2871, sp|P55884|EIF3B_HUMAN
seq2872, sp|P55884|EIF3B_HUMAN
seq2873, sp|P55884|EIF3B_HUMAN
seq2874, sp|Q5H9R7|PP6R3_HUMAN
seq2875, sp|P02533|K1C14_HUMAN
seq2876, sp|P02533|K1C14_HUMAN
seq2877, sp|Q9Y697|NFS1_HUMAN
seq2878, sp|Q9Y697|NFS1_HUMAN
seq2879, sp|Q9Y697|NFS1_HUMAN
seq2880, sp|Q9Y697|NFS1_HUMAN
seq2881, sp|Q9Y697|NFS1_HUMAN
seq2882, sp|Q9Y697|NFS1_HUMAN
seq2883, sp|Q9BVC3|DCC1_HUMAN
seq2884, sp|Q9BVC3|DCC1_HUMAN
seq2885, sp|Q86UW7|CAPS2_HUMAN
seq2886, sp|O00562|PITM1_HUMAN
seq2887, sp|O00562|PITM1_HUMAN
seq2888, sp|Q9UKT8|FBXW2_HUMAN
seq2889, sp|Q9BWF2|TRAIP_HUMAN
seq2890, sp|Q8IXW5|RPAP2_HUMAN
seq2891, sp|Q8IXW5|RPAP2_HUMAN
seq2892, sp|Q8IXW5|RPAP2_HUMAN
seq2893, sp|Q8IXW5|RPAP2_HUMAN
seq2894, sp|Q9H0A0|NAT10_HUMAN
seq2895, sp|Q9H0A0|NAT10_HUMAN
seq2896, sp|Q9H0A0|NAT10_HUMAN
seq2897, sp|Q9H0A0|NAT10_HUMAN
seq2898, sp|Q9H0A0|NAT10_HUMAN
seq2899, sp|P13645|K1C10_HUMAN
seq2900, sp|P13645|K1C10_HUMAN
seq2901, sp|P13645|K1C10_HUMAN
seq2902, sp|P13645|K1C10_HUMAN
seq2903, sp|P13645|K1C10_HUMAN
seq2904, sp|P13645|K1C10_HUMAN
seq2905, sp|P55822|SH3BG_HUMAN
seq2906, sp|Q9NVR2|INT10_HUMAN
seq2907, sp|Q9NVR2|INT10_HUMAN
seq2908, sp|D3ZSZ3|NLK_RAT
seq2909, sp|D3ZSZ3|NLK_RAT
seq2910, sp|D3ZSZ3|NLK_RAT
seq2911, sp|D3ZSZ3|NLK_RAT
seq2912, sp|D3ZSZ3|NLK_RAT
seq2913, sp|Q15834|CC85B_HUMAN
seq2914, sp|Q15834|CC85B_HUMAN
seq2915, sp|Q5VTL8|PR38B_HUMAN
seq2916, sp|Q15018|ABRX2_HUMAN
seq2917, sp|Q15018|ABRX2_HUMAN
seq2918, sp|Q15018|ABRX2_HUMAN
seq2919, sp|P23508|CRCM_HUMAN
seq2920, sp|Q12789|TF3C1_HUMAN
seq2921, sp|Q12789|TF3C1_HUMAN
seq2922, sp|P33076|C2TA_HUMAN
seq2923, sp|P33076|C2TA_HUMAN
seq2924, sp|P70483|STRN_RAT
seq2925, sp|O55106|STRN_MOUSE
seq2926, sp|O55106|STRN_MOUSE
seq2927, sp|O55106|STRN_MOUSE
seq2928, sp|O55106|STRN_MOUSE
seq2929, sp|Q9BPY3|F118B_HUMAN
seq2930, sp|Q9BPY3|F118B_HUMAN
seq2931, sp|Q4R836|F118B_MACFA
seq2932, sp|Q4R836|F118B_MACFA
seq2933, sp|Q9BPY3|F118B_HUMAN
seq2934, sp|Q9BPY3|F118B_HUMAN
seq2935, sp|Q4R836|F118B_MACFA
seq2936, sp|Q96GX9|MTNB_HUMAN
seq2937, sp|Q96GX9|MTNB_HUMAN
seq2938, sp|Q96GX9|MTNB_HUMAN
seq2939, sp|Q96GX9|MTNB_HUMAN
seq2940, sp|Q96GX9|MTNB_HUMAN
seq2941, sp|Q5RAV8|PLIN3_PONAB
seq2942, sp|Q7L591|DOK3_HUMAN
seq2943, sp|Q53EZ4|CEP55_HUMAN
seq2944, sp|Q53EZ4|CEP55_HUMAN
seq2945, sp|Q6ZUJ8|BCAP_HUMAN
seq2946, sp|Q6ZUJ8|BCAP_HUMAN
seq2947, sp|P51665|PSMD7_HUMAN
seq2948, sp|P51665|PSMD7_HUMAN
seq2949, sp|P51665|PSMD7_HUMAN
seq2950, sp|P51665|PSMD7_HUMAN
seq2951, sp|Q9UK99|FBX3_HUMAN
seq2952, sp|Q9UK99|FBX3_HUMAN
seq2953, sp|Q9UK99|FBX3_HUMAN
seq2954, sp|Q9C093|SPEF2_HUMAN
seq2955, sp|Q9C093|SPEF2_HUMAN
seq2956, sp|Q9C093|SPEF2_HUMAN
seq2957, sp|Q9C093|SPEF2_HUMAN
seq2958, sp|Q9BVT8|TMUB1_HUMAN
seq2959, sp|O75460|ERN1_HUMAN
seq2960, sp|O75460|ERN1_HUMAN
seq2961, sp|Q5T124|UBX11_HUMAN
seq2962, sp|Q5T124|UBX11_HUMAN
seq2963, sp|Q13523|PRP4B_HUMAN
seq2964, sp|Q08DZ2|PRP4B_BOVIN
seq2965, sp|Q08DZ2|PRP4B_BOVIN
seq2966, sp|Q13523|PRP4B_HUMAN
seq2967, sp|Q13523|PRP4B_HUMAN
seq2968, sp|Q9BWT7|CAR10_HUMAN
seq2969, sp|Q9BWT7|CAR10_HUMAN
seq2970, sp|Q9HB75|PIDD1_HUMAN
seq2971, sp|Q99959|PKP2_HUMAN
seq2972, sp|Q99959|PKP2_HUMAN
seq2973, sp|Q99959|PKP2_HUMAN
seq2974, sp|Q99959|PKP2_HUMAN
seq2975, sp|Q99959|PKP2_HUMAN
seq2976, sp|Q8IXH7|NELFD_HUMAN
seq2977, sp|P28330|ACADL_HUMAN
seq2978, sp|P28330|ACADL_HUMAN
seq2979, sp|Q96H96|COQ2_HUMAN
seq2980, sp|Q96H96|COQ2_HUMAN
seq2981, sp|Q9GZT3|SLIRP_HUMAN
seq2982, sp|Q9GZT3|SLIRP_HUMAN
seq2983, sp|Q9GZT3|SLIRP_HUMAN
seq2984, sp|Q9GZT3|SLIRP_HUMAN
seq2985, sp|Q9GZT3|SLIRP_HUMAN
seq2986, sp|Q9GZT3|SLIRP_HUMAN
seq2987, sp|Q9H903|MTD2L_HUMAN
seq2988, sp|Q9H903|MTD2L_HUMAN
seq2989, sp|Q8NE86|MCU_HUMAN
seq2990, sp|Q8NE86|MCU_HUMAN
seq2991, sp|Q8NE86|MCU_HUMAN
seq2992, sp|Q2TA68|OPA1_RAT
seq2993, sp|O60313|OPA1_HUMAN
seq2994, sp|O60313|OPA1_HUMAN
seq2995, sp|Q2TA68|OPA1_RAT
seq2996, sp|Q2TA68|OPA1_RAT
seq2997, sp|Q5RAM3|OPA1_PONAB
seq2998, sp|O60313|OPA1_HUMAN
seq2999, sp|Q2TA68|OPA1_RAT
seq3000, sp|Q2TA68|OPA1_RAT
seq3001, sp|O60313|OPA1_HUMAN
seq3002, sp|Q9P032|NDUF4_HUMAN
seq3003, sp|Q9NYY8|FAKD2_HUMAN
seq3004, sp|Q9NX18|SDHF2_HUMAN
seq3005, sp|Q9NX18|SDHF2_HUMAN
seq3006, sp|Q9NX18|SDHF2_HUMAN
seq3007, sp|Q9NX18|SDHF2_HUMAN
seq3008, sp|Q14669|TRIPC_HUMAN
seq3009, sp|O43242|PSMD3_HUMAN
seq3010, sp|O43242|PSMD3_HUMAN
seq3011, sp|O43242|PSMD3_HUMAN
seq3012, sp|P26231|CTNA1_MOUSE
seq3013, sp|P26231|CTNA1_MOUSE
seq3014, sp|P26231|CTNA1_MOUSE
seq3015, sp|P01344|IGF2_HUMAN
seq3016, sp|Q96CU9|FXRD1_HUMAN
seq3017, sp|Q9BTL3|RAMAC_HUMAN
seq3018, sp|P60123|RUVB1_RAT
seq3019, sp|Q9UJV9|DDX41_HUMAN
seq3020, sp|Q9UJV9|DDX41_HUMAN
seq3021, sp|P31151|S10A7_HUMAN
seq3022, sp|Q2PFZ3|PRDX2_MACFA
seq3023, sp|Q16584|M3K11_HUMAN
seq3024, sp|Q60700|M3K12_MOUSE
seq3025, sp|Q12852|M3K12_HUMAN
seq3026, sp|Q60700|M3K12_MOUSE
seq3027, sp|Q60700|M3K12_MOUSE
seq3028, sp|Q60700|M3K12_MOUSE
seq3029, sp|Q60700|M3K12_MOUSE
seq3030, sp|Q60700|M3K12_MOUSE
seq3031, sp|Q60700|M3K12_MOUSE
seq3032, sp|Q60700|M3K12_MOUSE
seq3033, sp|Q02779|M3K10_HUMAN
seq3034, sp|Q9Y572|RIPK3_HUMAN
seq3035, sp|P31152|MK04_HUMAN
seq3036, sp|P31152|MK04_HUMAN
seq3037, sp|P31152|MK04_HUMAN
seq3038, sp|P31321|KAP1_HUMAN
seq3039, sp|P41279|M3K8_HUMAN
seq3040, sp|Q9Y572|RIPK3_HUMAN
seq3041, sp|P31152|MK04_HUMAN
seq3042, sp|Q60700|M3K12_MOUSE
seq3043, sp|Q02779|M3K10_HUMAN
seq3044, sp|Q13114|TRAF3_HUMAN
seq3045, sp|O43181|NDUS4_HUMAN
seq3046, sp|Q9P032|NDUF4_HUMAN
seq3047, sp|Q86WV6|STING_HUMAN
seq3048, sp|Q86WV6|STING_HUMAN
seq3049, sp|Q86WV6|STING_HUMAN
seq3050, sp|Q86WV6|STING_HUMAN
seq3051, sp|Q86WV6|STING_HUMAN
seq3052, sp|Q9Y3C8|UFC1_HUMAN
seq3053, sp|P35227|PCGF2_HUMAN
seq3054, sp|Q92833|JARD2_HUMAN
seq3055, sp|Q5HYK3|COQ5_HUMAN
seq3056, sp|Q9UBE8|NLK_HUMAN
seq3057, sp|Q9H0H5|RGAP1_HUMAN
seq3058, sp|Q9H0H5|RGAP1_HUMAN
seq3059, sp|P46459|NSF_HUMAN
seq3060, sp|P18708|NSF_CRIGR
seq3061, sp|P46459|NSF_HUMAN
seq3062, sp|P19387|RPB3_HUMAN
seq3063, sp|P19387|RPB3_HUMAN
seq3064, sp|P19387|RPB3_HUMAN
seq3065, sp|P55884|EIF3B_HUMAN
seq3066, sp|Q9BXM7|PINK1_HUMAN
seq3067, sp|Q9BXM7|PINK1_HUMAN
seq3068, sp|Q92918|M4K1_HUMAN
seq3069, sp|Q92918|M4K1_HUMAN
seq3070, sp|P05161|ISG15_HUMAN
seq3071, sp|Q9WVA3|BUB3_MOUSE
seq3072, sp|Q9WVA3|BUB3_MOUSE
seq3073, sp|Q9WVA3|BUB3_MOUSE
seq3074, sp|O95571|ETHE1_HUMAN
seq3075, sp|O95571|ETHE1_HUMAN
seq3076, sp|Q12982|BNIP2_HUMAN
seq3077, sp|Q12982|BNIP2_HUMAN
seq3078, sp|Q12982|BNIP2_HUMAN
seq3079, sp|Q86UN6|AKA28_HUMAN
seq3080, sp|Q5ZJG3|BT3L4_CHICK
seq3081, sp|Q5RC59|BT3L4_PONAB
seq3082, sp|Q5ZJG3|BT3L4_CHICK
seq3083, sp|Q99829|CPNE1_HUMAN
seq3084, sp|Q9UBF9|MYOTI_HUMAN
seq3085, sp|O43187|IRAK2_HUMAN
seq3086, sp|Q13112|CAF1B_HUMAN
seq3087, sp|Q14296|FASTK_HUMAN
seq3088, sp|Q6IR75|CSN2_XENLA
seq3089, sp|P78396|CCNA1_HUMAN
seq3090, sp|Q9JMJ4|PRP19_RAT
seq3091, sp|P34947|GRK5_HUMAN
seq3092, sp|O43913|ORC5_HUMAN
seq3093, sp|Q7YR41|FLOT1_PANTR
seq3094, sp|O96020|CCNE2_HUMAN
seq3095, sp|O75674|TM1L1_HUMAN
seq3096, sp|Q13115|DUS4_HUMAN
seq3097, sp|O43187|IRAK2_HUMAN
seq3098, sp|O43353|RIPK2_HUMAN
seq3099, sp|Q14296|FASTK_HUMAN
seq3100, sp|P31689|DNJA1_HUMAN
seq3101, sp|Q8WTQ7|GRK7_HUMAN
seq3102, sp|Q13425|SNTB2_HUMAN
seq3103, sp|P10916|MLRV_HUMAN
seq3104, sp|Q92851|CASPA_HUMAN
seq3105, sp|P54750|PDE1A_HUMAN
seq3106, sp|Q9UQ07|MOK_HUMAN
seq3107, sp|O60220|TIM8A_HUMAN
seq3108, sp|Q09137|AAPK2_RAT
seq3109, sp|Q8WWY6|MB3L1_HUMAN
seq3110, sp|Q16690|DUS5_HUMAN
seq3111, sp|P78396|CCNA1_HUMAN
seq3112, sp|Q9Y6W6|DUS10_HUMAN
